Tipo_Servizio,Evento,Partenza,Destinazione,Veicolo,Periodo,Prezzo_Base_No_IVA,Prezzo_Base_Con_IVA,Supplemento_Notte_No_IVA,Supplemento_Notte_Con_IVA,Tariffa_IVA_Percent,Supplemento_Notte_Percent,Ore_Extra_Rate,Note,Scenario_Dettagli
Transfer,GP_Monza_2025,milano,linate-prime,berlina,Giorno,130.00,143.00,0.00,0.00,10,0,0.00,"Servizio Prime","Milano → Linate Prime - berlina - giorno"
Transfer,GP_Monza_2025,milano,linate-prime,berlina,Notte,130.00,143.00,156.00,171.60,10,20,0.00,"Servizio Prime","Milano → Linate Prime - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,linate-prime,monovolume,Giorno,140.00,154.00,0.00,0.00,10,0,0.00,"Servizio Prime","Milano → Linate Prime - monovolume - giorno"
Transfer,GP_Monza_2025,milano,linate-prime,monovolume,Notte,140.00,154.00,168.00,184.80,10,20,0.00,"Servizio Prime","Milano → Linate Prime - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,linate-prime,minibus,Giorno,180.00,198.00,0.00,0.00,10,0,0.00,"Servizio Prime","Milano → Linate Prime - minibus - giorno"
Transfer,GP_Monza_2025,milano,linate-prime,minibus,Notte,180.00,198.00,216.00,237.60,10,20,0.00,"Servizio Prime","Milano → Linate Prime - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate-prime,milano,berlina,Giorno,140.00,154.00,0.00,0.00,10,0,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - berlina - giorno"
Transfer,GP_Monza_2025,linate-prime,milano,berlina,Notte,140.00,154.00,168.00,184.80,10,20,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate-prime,milano,monovolume,Giorno,150.00,165.00,0.00,0.00,10,0,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - monovolume - giorno"
Transfer,GP_Monza_2025,linate-prime,milano,monovolume,Notte,150.00,165.00,180.00,198.00,10,20,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,linate-prime,milano,minibus,Giorno,200.00,220.00,0.00,0.00,10,0,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - minibus - giorno"
Transfer,GP_Monza_2025,linate-prime,milano,minibus,Notte,200.00,220.00,240.00,264.00,10,20,0.00,"Servizio Prime - Compresi 45 minuti di attesa","Linate Prime → Milano - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,malpensa,berlina,Giorno,190.00,209.00,0.00,0.00,10,0,0.00,"","Milano → Malpensa - berlina - giorno"
Transfer,GP_Monza_2025,milano,malpensa,berlina,Notte,190.00,209.00,228.00,250.80,10,20,0.00,"","Milano → Malpensa - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,malpensa,monovolume,Giorno,220.00,242.00,0.00,0.00,10,0,0.00,"","Milano → Malpensa - monovolume - giorno"
Transfer,GP_Monza_2025,milano,malpensa,monovolume,Notte,220.00,242.00,264.00,290.40,10,20,0.00,"","Milano → Malpensa - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,malpensa,minibus,Giorno,250.00,275.00,0.00,0.00,10,0,0.00,"","Milano → Malpensa - minibus - giorno"
Transfer,GP_Monza_2025,milano,malpensa,minibus,Notte,250.00,275.00,300.00,330.00,10,20,0.00,"","Milano → Malpensa - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,malpensa,milano,berlina,Giorno,210.00,231.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - berlina - giorno"
Transfer,GP_Monza_2025,malpensa,milano,berlina,Notte,210.00,231.00,252.00,277.20,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,malpensa,milano,monovolume,Giorno,240.00,264.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - monovolume - giorno"
Transfer,GP_Monza_2025,malpensa,milano,monovolume,Notte,240.00,264.00,288.00,316.80,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,malpensa,milano,minibus,Giorno,270.00,297.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - minibus - giorno"
Transfer,GP_Monza_2025,malpensa,milano,minibus,Notte,270.00,297.00,324.00,356.40,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Malpensa → Milano - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,orio-al-serio,berlina,Giorno,210.00,231.00,0.00,0.00,10,0,0.00,"","Milano → Orio al Serio - berlina - giorno"
Transfer,GP_Monza_2025,milano,orio-al-serio,berlina,Notte,210.00,231.00,252.00,277.20,10,20,0.00,"","Milano → Orio al Serio - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,orio-al-serio,monovolume,Giorno,240.00,264.00,0.00,0.00,10,0,0.00,"","Milano → Orio al Serio - monovolume - giorno"
Transfer,GP_Monza_2025,milano,orio-al-serio,monovolume,Notte,240.00,264.00,288.00,316.80,10,20,0.00,"","Milano → Orio al Serio - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,milano,orio-al-serio,minibus,Giorno,270.00,297.00,0.00,0.00,10,0,0.00,"","Milano → Orio al Serio - minibus - giorno"
Transfer,GP_Monza_2025,milano,orio-al-serio,minibus,Notte,270.00,297.00,324.00,356.40,10,20,0.00,"","Milano → Orio al Serio - minibus - notte (19:30-07:30)"
Transfer,GP_Monza_2025,orio-al-serio,milano,berlina,Giorno,230.00,253.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - berlina - giorno"
Transfer,GP_Monza_2025,orio-al-serio,milano,berlina,Notte,230.00,253.00,276.00,303.60,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - berlina - notte (19:30-07:30)"
Transfer,GP_Monza_2025,orio-al-serio,milano,monovolume,Giorno,260.00,286.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - monovolume - giorno"
Transfer,GP_Monza_2025,orio-al-serio,milano,monovolume,Notte,260.00,286.00,312.00,343.20,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - monovolume - notte (19:30-07:30)"
Transfer,GP_Monza_2025,orio-al-serio,milano,minibus,Giorno,290.00,319.00,0.00,0.00,10,0,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - minibus - giorno"
Transfer,GP_Monza_2025,orio-al-serio,milano,minibus,Notte,290.00,319.00,348.00,382.80,10,20,0.00,"Compresi 45 minuti di attesa per eventuale ritardo del volo e/o attesa bagagli","Orio al Serio → Milano - minibus - notte (19:30-07:30)"
Disposition,GP_Monza_2025,Milano,GP_Monza,berlina,Giorno,990.00,1089.00,0.00,0.00,10,0,100.00,"Include 10 ore + 100 KM","Berlina - Giorno standard (10h/100km) - giorno standard"
Disposition,GP_Monza_2025,Milano,GP_Monza,monovolume,Giorno,1190.00,1309.00,0.00,0.00,10,0,120.00,"Include 10 ore + 100 KM","Monovolume - Giorno standard (10h/100km) - giorno standard"
Disposition,GP_Monza_2025,Milano,GP_Monza,minibus,Giorno,1490.00,1639.00,0.00,0.00,10,0,150.00,"Include 10 ore + 100 KM","Minibus - Giorno standard (10h/100km) - giorno standard"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-sedan,Giorno,220.00,242.00,0.00,0.00,10,0,94.00,"","Malpensa → Milano City - olympic-sedan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-sedan,Notte,220.00,242.00,264.00,290.40,10,20,94.00,"Night surcharge: €44","Malpensa → Milano City - olympic-sedan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-suv,Giorno,220.00,242.00,0.00,0.00,10,0,94.00,"","Malpensa → Milano City - olympic-suv - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-suv,Notte,220.00,242.00,264.00,290.40,10,20,94.00,"Night surcharge: €44","Malpensa → Milano City - olympic-suv - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-minivan,Giorno,255.00,280.50,0.00,0.00,10,0,108.00,"","Malpensa → Milano City - olympic-minivan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-minivan,Notte,255.00,280.50,306.00,336.60,10,20,108.00,"Night surcharge: €51","Malpensa → Milano City - olympic-minivan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-tesla,Giorno,255.00,280.50,0.00,0.00,10,0,108.00,"","Malpensa → Milano City - olympic-tesla - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-tesla,Notte,255.00,280.50,306.00,336.60,10,20,108.00,"Night surcharge: €51","Malpensa → Milano City - olympic-tesla - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-van,Giorno,490.00,539.00,0.00,0.00,10,0,135.00,"","Malpensa → Milano City - olympic-van - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-van,Notte,490.00,539.00,588.00,646.80,10,20,135.00,"Night surcharge: €98","Malpensa → Milano City - olympic-van - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-luxury,Giorno,470.00,517.00,0.00,0.00,10,0,135.00,"","Malpensa → Milano City - olympic-luxury - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,milano-city,olympic-luxury,Notte,470.00,517.00,564.00,620.40,10,20,135.00,"Night surcharge: €94","Malpensa → Milano City - olympic-luxury - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-sedan,Giorno,135.00,148.50,0.00,0.00,10,0,94.00,"","Linate → Milano City - olympic-sedan - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-sedan,Notte,135.00,148.50,162.00,178.20,10,20,94.00,"Night surcharge: €27","Linate → Milano City - olympic-sedan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-suv,Giorno,135.00,148.50,0.00,0.00,10,0,94.00,"","Linate → Milano City - olympic-suv - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-suv,Notte,135.00,148.50,162.00,178.20,10,20,94.00,"Night surcharge: €27","Linate → Milano City - olympic-suv - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-minivan,Giorno,150.00,165.00,0.00,0.00,10,0,108.00,"","Linate → Milano City - olympic-minivan - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-minivan,Notte,150.00,165.00,180.00,198.00,10,20,108.00,"Night surcharge: €30","Linate → Milano City - olympic-minivan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-tesla,Giorno,150.00,165.00,0.00,0.00,10,0,108.00,"","Linate → Milano City - olympic-tesla - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-tesla,Notte,150.00,165.00,180.00,198.00,10,20,108.00,"Night surcharge: €30","Linate → Milano City - olympic-tesla - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-van,Giorno,330.00,363.00,0.00,0.00,10,0,135.00,"","Linate → Milano City - olympic-van - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-van,Notte,330.00,363.00,396.00,435.60,10,20,135.00,"Night surcharge: €66","Linate → Milano City - olympic-van - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-luxury,Giorno,285.00,313.50,0.00,0.00,10,0,135.00,"","Linate → Milano City - olympic-luxury - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,milano-city,olympic-luxury,Notte,285.00,313.50,342.00,376.20,10,20,135.00,"Night surcharge: €57","Linate → Milano City - olympic-luxury - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-sedan,Giorno,1100.00,1210.00,0.00,0.00,10,0,94.00,"","Malpensa → Livigno - olympic-sedan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-sedan,Notte,1100.00,1210.00,1320.00,1452.00,10,20,94.00,"Night surcharge: €220","Malpensa → Livigno - olympic-sedan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-suv,Giorno,1100.00,1210.00,0.00,0.00,10,0,94.00,"","Malpensa → Livigno - olympic-suv - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-suv,Notte,1100.00,1210.00,1320.00,1452.00,10,20,94.00,"Night surcharge: €220","Malpensa → Livigno - olympic-suv - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-minivan,Giorno,1270.00,1397.00,0.00,0.00,10,0,108.00,"","Malpensa → Livigno - olympic-minivan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-minivan,Notte,1270.00,1397.00,1524.00,1676.40,10,20,108.00,"Night surcharge: €254","Malpensa → Livigno - olympic-minivan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-tesla,Giorno,1270.00,1397.00,0.00,0.00,10,0,108.00,"","Malpensa → Livigno - olympic-tesla - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-tesla,Notte,1270.00,1397.00,1524.00,1676.40,10,20,108.00,"Night surcharge: €254","Malpensa → Livigno - olympic-tesla - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-van,Giorno,1780.00,1958.00,0.00,0.00,10,0,135.00,"","Malpensa → Livigno - olympic-van - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-van,Notte,1780.00,1958.00,2136.00,2349.60,10,20,135.00,"Night surcharge: €356","Malpensa → Livigno - olympic-van - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-luxury,Giorno,1630.00,1793.00,0.00,0.00,10,0,135.00,"","Malpensa → Livigno - olympic-luxury - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,livigno,olympic-luxury,Notte,1630.00,1793.00,1956.00,2151.60,10,20,135.00,"Night surcharge: €326","Malpensa → Livigno - olympic-luxury - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-sedan,Giorno,920.00,1012.00,0.00,0.00,10,0,94.00,"","Linate → Bormio - olympic-sedan - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-sedan,Notte,920.00,1012.00,1104.00,1214.40,10,20,94.00,"Night surcharge: €184","Linate → Bormio - olympic-sedan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-suv,Giorno,920.00,1012.00,0.00,0.00,10,0,94.00,"","Linate → Bormio - olympic-suv - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-suv,Notte,920.00,1012.00,1104.00,1214.40,10,20,94.00,"Night surcharge: €184","Linate → Bormio - olympic-suv - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-minivan,Giorno,1170.00,1287.00,0.00,0.00,10,0,108.00,"","Linate → Bormio - olympic-minivan - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-minivan,Notte,1170.00,1287.00,1404.00,1544.40,10,20,108.00,"Night surcharge: €234","Linate → Bormio - olympic-minivan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-tesla,Giorno,1170.00,1287.00,0.00,0.00,10,0,108.00,"","Linate → Bormio - olympic-tesla - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-tesla,Notte,1170.00,1287.00,1404.00,1544.40,10,20,108.00,"Night surcharge: €234","Linate → Bormio - olympic-tesla - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-van,Giorno,1390.00,1529.00,0.00,0.00,10,0,135.00,"","Linate → Bormio - olympic-van - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-van,Notte,1390.00,1529.00,1668.00,1834.80,10,20,135.00,"Night surcharge: €278","Linate → Bormio - olympic-van - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-luxury,Giorno,1290.00,1419.00,0.00,0.00,10,0,135.00,"","Linate → Bormio - olympic-luxury - giorno"
Olympic_Transfer,Milano_Cortina_2026,linate,bormio,olympic-luxury,Notte,1290.00,1419.00,1548.00,1702.80,10,20,135.00,"Night surcharge: €258","Linate → Bormio - olympic-luxury - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-sedan,Giorno,710.00,781.00,0.00,0.00,10,0,94.00,"","Malpensa → Verona - olympic-sedan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-sedan,Notte,710.00,781.00,852.00,937.20,10,20,94.00,"Night surcharge: €142","Malpensa → Verona - olympic-sedan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-suv,Giorno,710.00,781.00,0.00,0.00,10,0,94.00,"","Malpensa → Verona - olympic-suv - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-suv,Notte,710.00,781.00,852.00,937.20,10,20,94.00,"Night surcharge: €142","Malpensa → Verona - olympic-suv - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-minivan,Giorno,830.00,913.00,0.00,0.00,10,0,108.00,"","Malpensa → Verona - olympic-minivan - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-minivan,Notte,830.00,913.00,996.00,1095.60,10,20,108.00,"Night surcharge: €166","Malpensa → Verona - olympic-minivan - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-tesla,Giorno,830.00,913.00,0.00,0.00,10,0,108.00,"","Malpensa → Verona - olympic-tesla - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-tesla,Notte,830.00,913.00,996.00,1095.60,10,20,108.00,"Night surcharge: €166","Malpensa → Verona - olympic-tesla - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-van,Giorno,1250.00,1375.00,0.00,0.00,10,0,135.00,"","Malpensa → Verona - olympic-van - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-van,Notte,1250.00,1375.00,1500.00,1650.00,10,20,135.00,"Night surcharge: €250","Malpensa → Verona - olympic-van - notte (21:00-06:00)"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-luxury,Giorno,1130.00,1243.00,0.00,0.00,10,0,135.00,"","Malpensa → Verona - olympic-luxury - giorno"
Olympic_Transfer,Milano_Cortina_2026,malpensa,verona,olympic-luxury,Notte,1130.00,1243.00,1356.00,1491.60,10,20,135.00,"Night surcharge: €226","Malpensa → Verona - olympic-luxury - notte (21:00-06:00)"
Ceremony_Disposition,Milano_Cortina_2026,San Siro Milano,San Siro Milano,berlina,Giorno,1700.00,1870.00,0.00,0.00,10,0,300.00,"Opening Ceremony - Base €1700","Opening Ceremony - San Siro Milano - berlina - 2026-02-06"
Ceremony_Disposition,Milano_Cortina_2026,San Siro Milano,San Siro Milano,monovolume,Giorno,2200.00,2420.00,0.00,0.00,10,0,400.00,"Opening Ceremony - Base €2200","Opening Ceremony - San Siro Milano - monovolume - 2026-02-06"
Ceremony_Disposition,Milano_Cortina_2026,San Siro Milano,San Siro Milano,minibus,Giorno,2900.00,3190.00,0.00,0.00,10,0,500.00,"Opening Ceremony - Base €2900","Opening Ceremony - San Siro Milano - minibus - 2026-02-06"
Ceremony_Disposition,Milano_Cortina_2026,Arena Verona,Arena Verona,berlina,Giorno,1700.00,1870.00,0.00,0.00,10,0,300.00,"Closing Ceremony - Base €1700","Closing Ceremony - Arena Verona - berlina - 2026-02-22"
Ceremony_Disposition,Milano_Cortina_2026,Arena Verona,Arena Verona,monovolume,Giorno,2200.00,2420.00,0.00,0.00,10,0,400.00,"Closing Ceremony - Base €2200","Closing Ceremony - Arena Verona - monovolume - 2026-02-22"
Ceremony_Disposition,Milano_Cortina_2026,Arena Verona,Arena Verona,minibus,Giorno,2900.00,3190.00,0.00,0.00,10,0,500.00,"Closing Ceremony - Base €2900","Closing Ceremony - Arena Verona - minibus - 2026-02-22"
Meet_and_Greet,Milano_Cortina_2026,Aeroporto di Milano Malpensa,Servizio_Cliente,Meet_Greet_Service,Giorno,350.00,427.00,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €350","Aeroporto di Milano Malpensa - airport-arrivals - 1 passenger base"
Meet_and_Greet,Milano_Cortina_2026,Aeroporto di Milano Malpensa,Servizio_Cliente,Meet_Greet_Service,Giorno,525.00,640.50,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €350 | Extra adults (1): €90 | Children up to 12 years (1) - 50% rate: €45 | Extra luggage (2 pieces): €40","Aeroporto di Milano Malpensa - airport-arrivals - 2 adults + 1 child + 2 extra luggage"
Meet_and_Greet,Milano_Cortina_2026,Aeroporto di Milano Malpensa,Servizio_Cliente,Meet_Greet_Service,Giorno,770.00,939.40,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €350 | Extra adults (3): €270 | Children up to 12 years (2) - 50% rate: €90 | Extra luggage (3 pieces): €60","Aeroporto di Milano Malpensa - airport-arrivals - 4 adults + 2 children + 1 infant + 3 extra luggage"
Meet_and_Greet,Milano_Cortina_2026,Aeroporto di Milano Linate,Servizio_Cliente,Meet_Greet_Service,Giorno,370.00,451.40,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €370","Aeroporto di Milano Linate - airport-departures - 1 passenger base"
Meet_and_Greet,Milano_Cortina_2026,Aeroporto di Milano Linate,Servizio_Cliente,Meet_Greet_Service,Giorno,590.00,719.80,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €370 | Extra adults (2): €180 | Extra luggage (2 pieces): €40","Aeroporto di Milano Linate - airport-departures - 3 passengers + 2 extra luggage"
Meet_and_Greet,Milano_Cortina_2026,Milano Centrale,Servizio_Cliente,Meet_Greet_Service,Giorno,250.00,305.00,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €250","Milano Centrale - railway-arrivals - 1 passenger base"
Meet_and_Greet,Milano_Cortina_2026,Milano Centrale,Servizio_Cliente,Meet_Greet_Service,Giorno,345.00,420.90,0.00,0.00,22,0,90.00,"Base service (1 passenger, 2 luggage included): €250 | Extra adults (1): €70 | Extra luggage (1 pieces): €25","Milano Centrale - railway-arrivals - 2 passengers + 1 extra luggage"
